farm_size_ha,years_experience,current_debt_php,crop_type,loan_repayment_hist,irrigation_access,avg_yield_tons_ha,credit_risk
2.43,15,144539,Soybean,0,1,1.3,High
5.72,12,121999,Soybean,1,1,3.58,Low
4.47,30,114793,Corn,1,1,4.74,Low
3.71,16,108177,Vegetable,1,1,2.29,Low
1.19,24,12289,Corn,1,0,4.36,Low
1.19,19,86365,Vegetable,0,1,5.53,High
0.63,8,114014,Rice,1,0,1.88,High
5.24,21,72588,Rice,1,0,6.03,Low
3.73,17,63646,Rice,1,0,3.96,Low
4.34,23,3654,Rice,1,1,2.51,Low
0.42,5,18743,Soybean,0,0,3.26,High
5.83,22,48368,Soybean,1,1,2.58,Low
5.04,16,137513,Corn,1,0,4.93,Low
1.51,6,119735,Vegetable,0,0,5.34,High
1.34,8,119891,Rice,0,0,5.55,High
1.35,25,107971,Rice,1,1,6.42,Low
2.03,18,12149,Vegetable,1,0,5.31,Low
3.29,25,100102,Vegetable,0,1,4.23,Low
2.76,12,59189,Corn,0,1,2.73,High
1.96,15,71031,Vegetable,1,1,3.9,High
3.79,27,42668,Rice,0,1,1.03,Low
1.1,26,144745,Rice,1,1,5.05,Low
1.97,9,88204,Rice,1,0,3.34,High
2.39,13,140507,Rice,1,0,0.91,High
2.9,26,37384,Rice,1,1,1.16,Low
4.78,15,81929,Corn,0,1,3.01,High
1.44,10,127959,Rice,1,1,4.13,Low
3.23,16,76153,Corn,1,1,3.45,Low
3.68,7,75388,Rice,0,1,4.33,High
0.56,17,31401,Soybean,1,0,3.54,Low
3.76,23,119503,Soybean,1,1,4.57,Low
1.27,26,127834,Soybean,1,1,2.05,High
0.67,21,34084,Soybean,1,1,1.44,Low
5.71,22,110641,Corn,1,0,4.2,Low
5.8,26,105111,Corn,0,0,3.56,High
4.91,7,138299,Vegetable,1,0,0.95,Low
2.04,14,36041,Rice,1,0,2.97,Low
0.86,15,88920,Soybean,0,1,1.4,High
4.2,21,65681,Corn,0,1,3.83,Low
2.81,7,81571,Rice,1,0,3.06,Low
1.0,9,127556,Rice,1,1,4.29,Low
3.12,19,26160,Corn,1,0,5.39,Low
0.5,16,17633,Soybean,1,1,2.51,High
5.48,8,17014,Vegetable,1,1,6.28,Low
1.78,18,80532,Rice,1,0,3.85,Low
4.08,27,49104,Vegetable,0,0,4.32,Low
2.08,23,77231,Soybean,1,0,4.68,High
3.26,29,68388,Soybean,0,1,4.6,Low
3.42,18,16014,Vegetable,1,0,3.71,Low
1.35,30,92578,Soybean,0,1,3.24,High
5.83,20,40390,Rice,0,1,1.11,Low
4.72,7,23711,Vegetable,0,1,0.93,High
5.66,3,91658,Soybean,1,1,2.84,Low
5.4,18,57993,Vegetable,1,1,2.7,Low
3.71,27,7421,Rice,1,1,3.01,Low
5.55,10,17727,Soybean,0,1,1.59,High
0.8,7,112418,Rice,1,1,5.01,Low
1.42,17,4358,Soybean,1,1,5.68,Low
0.56,14,65108,Corn,1,1,6.15,Low
2.15,24,94018,Soybean,1,1,3.61,Low
2.52,3,124457,Vegetable,1,0,4.79,High
1.85,12,31910,Soybean,1,1,5.68,Low
5.02,28,126888,Rice,0,1,3.18,Low
2.33,13,55754,Rice,0,1,2.56,High
1.9,2,109847,Soybean,0,0,6.14,High
3.39,3,38467,Vegetable,1,0,3.74,Low
1.1,5,148697,Corn,0,0,3.63,High
4.87,11,33893,Vegetable,0,0,1.82,High
0.72,8,76329,Corn,0,0,1.42,High
5.93,26,31007,Rice,0,0,5.6,Low
4.7,23,54253,Vegetable,1,0,4.3,Low
1.43,23,12323,Corn,0,1,2.66,High
0.33,12,111335,Soybean,1,1,1.89,High
4.95,7,112356,Rice,1,1,3.97,Low
4.33,15,110944,Soybean,1,0,4.13,Low
4.46,24,145282,Rice,0,0,1.98,High
4.7,17,16456,Vegetable,0,0,5.65,High
0.72,4,31367,Vegetable,0,1,1.28,High
2.34,29,54624,Rice,0,1,2.83,Low
0.96,22,141178,Rice,1,1,4.68,Low
5.22,25,68008,Rice,1,1,2.36,Low
3.85,13,125926,Vegetable,1,0,5.52,High
2.19,18,115395,Corn,1,0,5.02,Low
0.66,1,116492,Soybean,1,1,5.3,High
2.07,16,72240,Soybean,1,0,1.48,Low
2.15,13,64315,Vegetable,1,1,1.6,High
4.46,10,10756,Soybean,0,0,2.43,High
3.93,12,36378,Rice,1,1,3.75,Low
5.36,30,135327,Corn,0,1,5.06,Low
2.99,2,145556,Soybean,0,1,5.57,High
0.98,23,125703,Corn,1,1,4.81,Low
4.37,3,56549,Rice,1,1,6.09,Low
4.64,10,73794,Soybean,1,0,5.01,Low
3.5,2,45113,Vegetable,1,0,2.55,Low
4.69,30,74069,Corn,0,0,2.31,High
3.11,27,136321,Rice,1,1,4.77,Low
3.28,23,125541,Corn,1,0,1.9,Low
2.74,13,9686,Soybean,1,1,1.33,Low
0.44,13,53363,Soybean,0,1,3.83,High
0.91,18,97543,Vegetable,0,0,5.48,High
0.48,3,131733,Rice,0,0,1.38,High
3.93,27,95673,Rice,1,1,5.31,Low
2.09,7,42828,Vegetable,0,1,5.43,High
3.2,14,48604,Vegetable,0,0,3.55,High
5.47,20,10526,Rice,0,1,1.13,Low
1.72,29,68910,Corn,0,1,1.8,High
2.64,30,25592,Corn,1,0,4.83,Low
4.61,17,28982,Vegetable,0,1,4.86,Low
1.6,29,207,Corn,0,1,5.92,Low
0.74,30,88733,Rice,1,1,4.12,Low
1.95,21,124982,Soybean,1,0,1.51,High
1.22,12,68619,Soybean,0,0,1.49,High
5.6,25,46479,Corn,1,0,4.91,Low
4.91,16,141826,Vegetable,1,0,1.85,High
3.91,24,81437,Vegetable,0,0,2.67,High
5.27,12,98540,Vegetable,1,1,3.58,Low
4.88,15,72982,Vegetable,1,1,0.94,Low
1.36,25,102747,Vegetable,1,0,2.22,High
5.39,10,48231,Corn,1,0,3.12,Low
3.37,30,29301,Soybean,1,0,2.39,Low
4.9,25,18752,Soybean,1,0,1.58,Low
5.41,7,98452,Corn,0,1,4.95,High
2.11,20,144467,Vegetable,1,1,5.43,High
0.93,5,121237,Corn,0,1,2.27,High
1.6,1,56273,Soybean,0,1,5.21,High
2.73,30,91878,Rice,1,1,3.0,Low
4.96,17,4895,Corn,0,0,3.69,High
5.21,3,119968,Vegetable,1,0,5.68,Low
0.34,13,115700,Soybean,1,1,5.07,High
3.21,14,76559,Soybean,1,0,5.39,Low
2.68,24,10699,Soybean,0,0,1.58,High
1.57,30,9715,Soybean,1,1,1.2,Low
0.98,18,19169,Vegetable,1,0,5.89,Low
2.22,4,118413,Rice,0,0,3.01,High
5.67,18,147235,Soybean,1,0,2.44,Low
2.14,30,119264,Corn,1,0,4.93,Low
3.26,5,5782,Rice,1,0,5.57,Low
4.31,25,124481,Soybean,0,1,5.72,Low
2.37,16,35585,Rice,0,1,2.6,High
5.84,1,30682,Corn,1,1,5.66,Low
5.79,21,129992,Soybean,1,0,1.03,High
1.74,14,84416,Corn,1,1,1.08,High
3.13,15,127810,Vegetable,0,1,4.35,High
2.02,9,38067,Soybean,1,0,1.16,High
1.92,15,18073,Soybean,1,0,2.65,Low
0.51,17,36035,Soybean,1,0,4.63,Low
3.77,25,90373,Soybean,1,1,2.72,Low
3.17,24,83362,Vegetable,1,1,1.82,High
0.59,4,90517,Soybean,1,1,2.4,High
1.89,12,65450,Rice,1,1,3.41,Low
5.48,27,10382,Soybean,0,1,3.51,Low
1.67,26,135509,Vegetable,1,0,5.26,Low
1.13,5,61929,Soybean,0,0,5.08,High
3.09,29,98864,Rice,1,1,3.4,Low
5.92,5,143401,Vegetable,0,0,5.62,High
1.68,11,25169,Vegetable,0,0,1.45,High
4.13,28,87468,Rice,1,1,2.26,Low
4.64,6,34594,Rice,1,0,5.52,Low
1.65,7,45033,Rice,0,1,2.95,Low
4.45,24,63133,Rice,1,1,6.39,Low
2.4,14,73861,Rice,0,0,3.46,High
3.9,24,31750,Vegetable,1,1,5.31,Low
3.91,11,40461,Vegetable,0,0,3.09,High
3.35,30,78222,Soybean,1,1,3.22,Low
0.81,13,112020,Soybean,0,0,2.98,High
5.06,2,24226,Corn,0,1,4.9,Low
2.13,25,6721,Soybean,0,1,3.92,Low
1.36,7,20609,Soybean,1,1,6.18,Low
0.53,20,130513,Rice,0,0,2.23,High
3.67,4,104211,Rice,1,0,1.37,High
4.16,27,136728,Soybean,0,0,3.04,High
0.39,8,124865,Corn,1,0,4.32,Low
3.22,20,74520,Rice,0,0,5.71,High
1.59,29,64309,Soybean,1,0,2.77,Low
3.98,22,29984,Soybean,0,0,4.53,High
1.29,21,118947,Vegetable,0,0,2.8,High
4.24,19,5901,Corn,0,0,4.32,Low
2.5,13,31055,Vegetable,1,0,5.84,Low
5.64,14,145788,Corn,1,1,2.12,Low
1.08,10,114099,Rice,0,0,3.1,High
2.24,11,11138,Corn,1,0,6.46,Low
0.95,2,23429,Soybean,1,1,5.75,Low
5.57,25,50200,Soybean,0,1,4.02,Low
5.3,26,101268,Corn,0,1,3.74,High
1.77,9,17347,Corn,1,0,2.42,High
4.06,17,147992,Corn,0,0,3.75,High
4.96,26,31822,Vegetable,0,1,5.63,Low
3.46,3,40108,Corn,1,0,4.71,Low
3.32,24,128955,Rice,0,0,2.45,High
1.68,6,7967,Vegetable,1,1,1.95,Low
0.83,5,110719,Vegetable,1,0,2.31,High
5.41,5,11871,Corn,1,0,1.77,Low
5.43,22,28179,Rice,1,0,1.35,Low
3.91,15,55099,Vegetable,0,0,3.19,High
2.23,23,35262,Soybean,1,0,1.45,High
2.29,17,78213,Vegetable,1,0,1.78,High
4.44,9,117407,Corn,1,1,3.92,Low
5.41,3,149340,Rice,1,0,1.74,High
5.36,20,86269,Corn,1,0,1.16,High
4.75,26,60545,Soybean,1,0,2.61,Low
3.96,17,39922,Soybean,1,1,2.06,High
0.78,29,42913,Soybean,0,0,3.74,High
1.22,27,97033,Corn,1,1,1.38,High
5.42,10,104792,Vegetable,1,0,5.09,Low
3.76,3,119863,Corn,1,1,5.97,Low
0.35,18,44936,Rice,0,1,5.04,Low
0.88,18,28141,Vegetable,1,1,3.84,Low
4.08,30,140146,Soybean,1,1,5.71,Low
0.33,17,137478,Corn,1,0,4.76,Low
1.22,24,97359,Soybean,0,0,0.86,High
3.43,3,123279,Soybean,1,0,3.05,High
4.24,3,41568,Rice,0,1,5.65,High
4.02,6,97539,Vegetable,1,1,2.77,High
1.58,13,46851,Rice,1,0,1.0,High
4.36,24,54823,Rice,0,0,5.05,Low
1.65,29,23312,Rice,1,0,5.37,Low
2.15,15,98723,Soybean,0,0,1.72,High
4.56,25,12411,Rice,0,1,3.86,Low
4.0,9,57009,Rice,0,0,1.89,High
5.14,4,146494,Vegetable,1,0,4.9,Low
4.05,14,32371,Vegetable,0,1,2.35,High
3.54,5,57022,Rice,1,1,2.6,Low
0.83,2,71229,Vegetable,0,0,5.62,High
2.4,11,99071,Vegetable,0,1,3.52,High
1.81,9,96774,Rice,0,1,4.62,High
1.69,24,26715,Soybean,1,0,3.09,Low
5.85,3,27605,Rice,1,1,2.5,Low
2.54,27,99853,Vegetable,1,1,4.37,Low
5.38,28,31174,Soybean,0,0,1.68,High
3.9,29,141028,Corn,1,0,2.93,Low
4.83,9,76373,Soybean,1,0,1.99,High
3.17,3,69252,Vegetable,0,0,4.77,High
3.59,25,70017,Soybean,1,0,6.18,Low
3.11,2,63037,Rice,1,0,6.47,Low
1.41,12,89818,Corn,1,1,3.37,High
4.42,10,6548,Corn,1,0,2.24,High
1.9,9,116981,Corn,1,0,3.32,High
0.44,15,24022,Vegetable,1,1,5.63,Low
3.98,8,106297,Vegetable,1,1,1.97,High
1.31,25,136614,Corn,1,0,6.23,High
5.66,5,60428,Soybean,0,1,2.75,High
5.74,11,59353,Corn,1,1,6.42,Low
5.51,27,113132,Soybean,1,0,5.58,High
2.41,2,16052,Soybean,0,0,5.41,High
0.39,24,100689,Vegetable,1,1,2.61,High
5.59,28,131743,Soybean,1,1,0.85,High
2.74,15,163,Corn,0,1,2.98,Low
5.81,6,41424,Vegetable,0,0,2.52,High
5.79,8,141706,Rice,0,0,1.01,High
5.16,27,135870,Rice,0,1,3.68,High
1.98,5,22420,Vegetable,0,0,3.1,High
2.5,16,120575,Corn,1,1,4.42,Low
5.15,26,29300,Rice,0,0,4.34,High
2.11,18,89881,Rice,1,0,1.49,High
1.27,6,10749,Soybean,0,0,6.37,High
3.47,5,104131,Soybean,1,0,1.87,High
5.64,28,128563,Corn,1,1,3.34,Low
4.27,16,37487,Vegetable,1,0,3.58,Low
3.55,13,21223,Corn,0,0,5.43,High
0.85,28,72930,Vegetable,1,1,1.37,High
3.81,5,145128,Rice,0,0,3.24,High
5.94,13,28380,Soybean,0,1,4.38,High
1.1,17,26035,Corn,1,0,2.03,Low
3.25,18,30620,Corn,0,1,4.38,Low
5.3,8,117360,Vegetable,0,0,6.06,Low
4.52,13,53352,Vegetable,0,1,6.49,High
4.27,30,3191,Corn,1,0,0.98,Low
4.3,29,90536,Vegetable,1,0,2.14,High
2.35,19,104576,Corn,1,0,2.57,Low
1.97,26,3631,Corn,1,1,3.08,Low
4.91,3,137244,Corn,0,0,2.18,High
4.92,24,42080,Rice,1,0,1.96,Low
5.24,8,90353,Vegetable,0,1,6.24,Low
5.51,2,28671,Soybean,1,1,6.04,Low
3.21,8,122811,Soybean,1,0,1.07,Low
3.16,27,127734,Vegetable,0,0,2.73,High
4.85,13,51399,Corn,0,1,3.11,High
4.0,13,7099,Soybean,1,1,2.16,Low
4.3,1,56492,Soybean,1,1,4.38,Low
4.84,6,96722,Vegetable,1,0,4.45,Low
5.37,24,30111,Soybean,1,0,5.65,Low
2.23,19,63936,Corn,1,0,5.02,Low
2.44,16,60920,Vegetable,1,0,3.89,High
0.84,8,63530,Corn,1,0,4.53,Low
3.6,28,7788,Soybean,0,1,2.36,High
0.5,1,28082,Soybean,1,1,4.18,High
2.95,27,123287,Corn,1,1,3.59,Low
3.39,27,89570,Rice,1,0,1.56,Low
1.93,16,101015,Soybean,0,0,2.18,High
3.67,9,83588,Rice,0,1,2.46,High
0.47,13,147603,Soybean,1,1,6.07,Low
0.51,11,88340,Rice,0,0,2.11,High
4.99,13,94439,Rice,1,0,2.45,High
2.35,25,141214,Rice,1,1,2.91,Low
1.02,21,115053,Corn,1,0,4.58,High
3.28,10,48355,Rice,1,0,1.47,Low
4.69,4,140938,Rice,0,1,6.24,High
1.53,27,125426,Rice,0,0,5.73,Low
3.85,6,64027,Soybean,1,1,4.09,Low
0.79,28,92601,Rice,0,0,4.64,High
0.59,7,29956,Soybean,1,0,0.89,High
